CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,calculated,id,Station ID,area,perimeter,DepArea
"2.01","1",Manhattan,"000201","1000201",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000201","4103",4754.49524739000,972312.14035500004,90331.513,"0","1",15164894.247381,14925.757219,862548.445
"6","1",Manhattan,"000600","1000600",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000600","4103",6976.28621477000,2582705.15745999990,239943.179,"0","1",15164894.247381,14925.757219,2575010.925
"14.01","1",Manhattan,"001401","1001401",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001401","4103",5075.33199978000,1006116.58429000003,93472.101,"0","1",15164894.247381,14925.757219,1006116.584
"14.02","1",Manhattan,"001402","1001402",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001402","4103",4459.15601870000,1226206.24719000002,113919.298,"0","1",15164894.247381,14925.757219,1226206.247
"18","1",Manhattan,"001800","1001800",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001800","4103",6391.92117449000,2399276.86434999993,222902.119,"0","1",15164894.247381,14925.757219,1668319.823
"22.01","1",Manhattan,"002201","1002201",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002201","4103",5779.06260724000,1740173.87581000011,161668.898,"0","1",15164894.247381,14925.757219,1528489.990
"26.01","1",Manhattan,"002601","1002601",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002601","4103",4521.25106638000,1141217.52722999989,106023.561,"0","1",15164894.247381,14925.757219,116759.293
"32","1",Manhattan,"003200","1003200",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003200","4103",6358.43545384000,2335526.62183000008,216979.584,"0","1",15164894.247381,14925.757219,674491.896
"33","1",Manhattan,"003300","1003300",,Tribeca-Civic Center,MN0102,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061003300","4121",8170.75642439000,3677727.61843999987,341675.143,"0","1",15164894.247381,14925.757219,35279.224
"36.01","1",Manhattan,"003601","1003601",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003601","4103",4201.29530909000,1082296.16558000003,100549.534,"0","1",15164894.247381,14925.757219,59882.612
"37","1",Manhattan,"003700","1003700",,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061003700","4121",11701.60794320000,4116364.29736000020,382426.409,"0","1",15164894.247381,14925.757219,2679927.392
"39","1",Manhattan,"003900","1003900",,Tribeca-Civic Center,MN0102,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061003900","4121",12700.42461980000,3571006.25669000018,331760.366,"0","1",15164894.247381,14925.757219,1101544.513
"70.01","1",Manhattan,"007001","1007001",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007001","4165",4116.82326197000,967528.06360899995,89887.260,"0","1",15164894.247381,14925.757219,791022.868
"70.02","1",Manhattan,"007002","1007002",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007002","4165",4036.36952209000,941181.26639400003,87439.542,"0","1",15164894.247381,14925.757219,927699.180
"72","1",Manhattan,"007200","1007200",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007200","4165",5722.94380674000,1877428.79582000012,174420.733,"0","1",15164894.247381,14925.757219,322714.965
"78","1",Manhattan,"007800","1007800",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007800","4165",5546.86738568000,1912109.89721000008,177642.765,"0","1",15164894.247381,14925.757219,336360.482
"87","1",Manhattan,"008700","1008700",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008700","4104",5579.48038550000,1780834.06535000005,165446.664,"0","1",15164894.247381,14925.757219,5129.214
"89","1",Manhattan,"008900","1008900",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008900","4104",5578.14059054000,1782674.05104999989,165617.632,"0","1",15164894.247381,14925.757219,106501.898
"91","1",Manhattan,"009100","1009100",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009100","4104",5743.39332012000,1927040.12601000001,179029.825,"0","1",15164894.247381,14925.757219,45236.761
"93","1",Manhattan,"009300","1009300",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009300","4104",5740.25895778000,1929422.57462000009,179251.192,"0","1",15164894.247381,14925.757219,1084253.980
"97","1",Manhattan,"009700","1009700",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009700","4104",5655.10995589000,1860581.09400999988,172855.565,"0","1",15164894.247381,14925.757219,371827.280
"99.02","1",Manhattan,"009902","1009902",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009902","4104",8383.89303694000,2006894.84251999995,186448.737,"0","1",15164894.247381,14925.757219,3942.827
"108.02","1",Manhattan,"010802","1010802",,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010802","4165",3142.73680616000,617743.75491300004,57390.944,"0","1",15164894.247381,14925.757219,17358.170
"121.02","1",Manhattan,"012102","1012102",,Hell's Kitchen,MN0402,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061012102","4104",3933.96052052000,959890.05928900000,89177.753,"0","1",15164894.247381,14925.757219,194.711
"122","1",Manhattan,"012200","1012200",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012200","4108",5683.16743346000,1857829.44402999990,172600.104,"0","1",15164894.247381,14925.757219,220412.063
