CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"1","1",Manhattan,"000100","1000100",,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061000100","4121",10833.04392860000,1843004.52240999998
"2.01","1",Manhattan,"000201","1000201",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000201","4103",4754.49524739000,972312.14035500004
"6","1",Manhattan,"000600","1000600",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000600","4103",6976.28621477000,2582705.15745999990
"14.01","1",Manhattan,"001401","1001401",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001401","4103",5075.33199978000,1006116.58429000003
"14.02","1",Manhattan,"001402","1001402",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001402","4103",4459.15601870000,1226206.24719000002
"18","1",Manhattan,"001800","1001800",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001800","4103",6391.92117449000,2399276.86434999993
"22.01","1",Manhattan,"002201","1002201",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002201","4103",5779.06260724000,1740173.87581000011
"26.01","1",Manhattan,"002601","1002601",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002601","4103",4521.25106638000,1141217.52722999989
"26.02","1",Manhattan,"002602","1002602",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002602","4103",4491.20321958000,1114857.11794000003
"28","1",Manhattan,"002800","1002800",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002800","4103",5627.55483658000,1973678.46790000005
"31","1",Manhattan,"003100","1003100",,Tribeca-Civic Center,MN0102,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061003100","4121",7967.86702864000,2207015.17474000016
"32","1",Manhattan,"003200","1003200",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003200","4103",6358.43545384000,2335526.62183000008
"33","1",Manhattan,"003300","1003300",,Tribeca-Civic Center,MN0102,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061003300","4121",8170.75642439000,3677727.61843999987
"34","1",Manhattan,"003400","1003400",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003400","4103",5503.30697234000,1718451.58587999991
"36.01","1",Manhattan,"003601","1003601",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003601","4103",4201.29530909000,1082296.16558000003
"36.02","1",Manhattan,"003602","1003602",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003602","4103",4076.25032584000,961070.50006100000
"37","1",Manhattan,"003700","1003700",,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061003700","4121",11701.60794320000,4116364.29736000020
"39","1",Manhattan,"003900","1003900",,Tribeca-Civic Center,MN0102,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061003900","4121",12700.42461980000,3571006.25669000018
"40.01","1",Manhattan,"004001","1004001",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061004001","4103",4151.97686690000,995026.13729600003
"40.02","1",Manhattan,"004002","1004002",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061004002","4103",4046.98099391000,932610.98620699998
"41","1",Manhattan,"004100","1004100",,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061004100","4121",5913.87073980000,2058611.77685000002
"43","1",Manhattan,"004300","1004300",,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061004300","4121",5090.41972568000,1605585.00792000000
"45","1",Manhattan,"004500","1004500",,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061004500","4121",4604.74251526000,1129524.35465000011
"52","1",Manhattan,"005200","1005200",,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061005200","4165",5790.38825222000,1815428.99169000005
"54","1",Manhattan,"005400","1005400",,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061005400","4165",5588.63701127000,1809255.65822999994
"55.01","1",Manhattan,"005501","1005501",,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061005501","4121",4650.76717945000,1338496.76795000001
"55.02","1",Manhattan,"005502","1005502",,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061005502","4121",4547.01610161000,1243017.22803999996
"58","1",Manhattan,"005800","1005800",,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061005800","4165",5720.57431636000,1879679.38883000007
"63","1",Manhattan,"006300","1006300",,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061006300","4121",5802.50819179000,1918265.47759000002
"65","1",Manhattan,"006500","1006500",,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061006500","4121",6351.18177406000,2167367.11549000023
"67","1",Manhattan,"006700","1006700",,West Village,MN0203,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061006700","4121",5458.85947250000,1812883.02278000000
"68","1",Manhattan,"006800","1006800",,Gramercy,MN0602,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061006800","4165",5723.89094085000,1877720.93515000003
"70.01","1",Manhattan,"007001","1007001",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007001","4165",4116.82326197000,967528.06360899995
"70.02","1",Manhattan,"007002","1007002",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007002","4165",4036.36952209000,941181.26639400003
"71","1",Manhattan,"007100","1007100",,West Village,MN0203,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061007100","4121",6603.38612647000,1774264.34210000001
"72","1",Manhattan,"007200","1007200",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007200","4165",5722.94380674000,1877428.79582000012
"73","1",Manhattan,"007300","1007300",,West Village,MN0203,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061007300","4121",5754.13421011000,1778587.97432000004
"76","1",Manhattan,"007600","1007600",,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061007600","4165",5717.63343742000,1873518.14596000011
"77","1",Manhattan,"007700","1007700",,West Village,MN0203,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061007700","4121",5765.37214246000,1924995.85467000003
"78","1",Manhattan,"007800","1007800",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007800","4165",5546.86738568000,1912109.89721000008
"80","1",Manhattan,"008000","1008000",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061008000","4165",5682.15354559000,1855976.69852999994
"81","1",Manhattan,"008100","1008100",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008100","4104",5683.39375249000,1875912.49867999996
"82","1",Manhattan,"008200","1008200",,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061008200","4165",5681.26086793000,1856719.42015999998
"83","1",Manhattan,"008300","1008300",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008300","4104",5681.51426302000,1873011.55559000000
"84","1",Manhattan,"008400","1008400",,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061008400","4165",5690.70188955000,1862741.79820000008
"87","1",Manhattan,"008700","1008700",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008700","4104",5579.48038550000,1780834.06535000005
"89","1",Manhattan,"008900","1008900",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008900","4104",5578.14059054000,1782674.05104999989
"91","1",Manhattan,"009100","1009100",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009100","4104",5743.39332012000,1927040.12601000001
"92","1",Manhattan,"009200","1009200",,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061009200","4165",6172.97892123000,2118430.84367999993
"93","1",Manhattan,"009300","1009300",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009300","4104",5740.25895778000,1929422.57462000009
