id,Station ID,area,perimeter,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,B19013001,calculated areas
"0","1",15164894.247381,14925.757219,"2.01","1",Manhattan,"000201","1000201",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000201","4103",4754.49524739000,972312.14035500004,"45582",80134.048
"0","1",15164894.247381,14925.757219,"6","1",Manhattan,"000600","1000600",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000600","4103",6976.28621477000,2582705.15745999990,"25655",239228.356
"0","1",15164894.247381,14925.757219,"14.01","1",Manhattan,"001401","1001401",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001401","4103",5075.33199978000,1006116.58429000003,"89873",93472.101
"0","1",15164894.247381,14925.757219,"14.02","1",Manhattan,"001402","1001402",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001402","4103",4459.15601870000,1226206.24719000002,"46615",113919.298
"0","1",15164894.247381,14925.757219,"18","1",Manhattan,"001800","1001800",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001800","4103",6391.92117449000,2399276.86434999993,"74485",154993.374
"0","1",15164894.247381,14925.757219,"22.01","1",Manhattan,"002201","1002201",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002201","4103",5779.06260724000,1740173.87581000011,"35700",142002.643
"0","1",15164894.247381,14925.757219,"26.01","1",Manhattan,"002601","1002601",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002601","4103",4521.25106638000,1141217.52722999989,"35625",10847.394
"0","1",15164894.247381,14925.757219,"32","1",Manhattan,"003200","1003200",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003200","4103",6358.43545384000,2335526.62183000008,"88070",62662.936
"0","1",15164894.247381,14925.757219,"33","1",Manhattan,"003300","1003300",,Tribeca-Civic Center,MN0102,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061003300","4121",8170.75642439000,3677727.61843999987,"250001",3277.578
"0","1",15164894.247381,14925.757219,"36.01","1",Manhattan,"003601","1003601",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003601","4103",4201.29530909000,1082296.16558000003,"55714",5563.328
"0","1",15164894.247381,14925.757219,"37","1",Manhattan,"003700","1003700",,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061003700","4121",11701.60794320000,4116364.29736000020,"246250",248975.775
