Station ID,Complex ID,GTFS Stop,Division,Line,Stop Name,Borough,Daytime Ro,Structure,GTFS Latit,GTFS Longi,North Dire,South Dire,ADA,ADA Notes
1,1,R01,BMT,Astoria,Astoria-Ditmars Blvd,Q,N W,Elevated,40.775036000000000,-73.912034,,Manhattan,0,
2,2,R03,BMT,Astoria,Astoria Blvd,Q,N W,Elevated,40.770257999999998,-73.917843,Ditmars Blvd,Manhattan,1,
3,3,R04,BMT,Astoria,30 Av,Q,N W,Elevated,40.766779000000000,-73.921479,Astoria - Ditmars Blvd,Manhattan,0,
4,4,R05,BMT,Astoria,Broadway,Q,N W,Elevated,40.761820000000000,-73.925508,Astoria - Ditmars Blvd,Manhattan,0,
5,5,R06,BMT,Astoria,36 Av,Q,N W,Elevated,40.756804000000002,-73.929575,Astoria - Ditmars Blvd,Manhattan,0,
6,6,R08,BMT,Astoria,39 Av-Dutch Kills,Q,N W,Elevated,40.752882000000000,-73.932755,Astoria - Ditmars Blvd,Manhattan,0,
7,613,R11,BMT,Astoria,Lexington Av/59 St,M,N W R,Subway,40.762659999999997,-73.967258,Queens,Downtown & Brooklyn,0,
8,8,R13,BMT,Astoria,5 Av/59 St,M,N W R,Subway,40.764811000000002,-73.973347,Queens,Downtown & Brooklyn,0,
9,9,R14,BMT,Broadway - Brighton,57 St-7 Av,M,N Q R W,Subway,40.764664000000003,-73.980658,Uptown & Queens,Downtown & Brooklyn,0,
10,10,R15,BMT,Broadway - Brighton,49 St,M,N R W,Subway,40.759900999999999,-73.984139,Uptown & Queens,Downtown & Brooklyn,2,Uptown only
11,611,R16,BMT,Broadway - Brighton,Times Sq-42 St,M,N Q R W,Subway,40.754671999999999,-73.986754,Uptown & Queens,Downtown & Brooklyn,1,
12,607,R17,BMT,Broadway - Brighton,34 St-Herald Sq,M,N Q R W,Subway,40.749566999999999,-73.98795,Uptown & Queens,Downtown & Brooklyn,1,
